Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54578808,Why Do You Look at Me and See a Girl? (35) (GWE Creative Non-Fiction),Anvi Hoàng,"Hoàng, Anvi",,"=""1771834455""","=""9781771834452""",0,4.65,Guernica World Editions,Paperback,240,2021,,,2022/07/02,to-read,to-read (#240),to-read,,,,0,0
89724,We Have Always Lived in the Castle,Shirley Jackson,"Jackson, Shirley",Jonathan Lethem,"=""0143039970""","=""9780143039976""",3,3.92,Penguin Books,Paperback,152,2006,1962,2022/06/12,2021/12/17,"fav-book-titles, atmospheric, better-than-expected, has-vision, slow-burn, relatable","fav-book-titles (#8), atmospheric (#20), better-than-expected (#39), has-vision (#21), slow-burn (#2), relatable (#15)",read,,,,1,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",1,3.67,Picador,Paperback,213,2019,2015,2022/06/23,2022/06/23,"asian-lit, bad-writing, fomo, no-vision, book-club, cool-concept-bad-execution","asian-lit (#13), bad-writing (#7), fomo (#3), no-vision (#10), book-club (#4), cool-concept-bad-execution (#12)",read,,,,1,0
30186905,The Queue,Basma Abdel Aziz,"Aziz, Basma Abdel",Elisabeth Jaquette,"=""""","=""""",0,3.55,Melville House,Kindle Edition,209,2016,2012,,2022/06/28,to-read,to-read (#239),to-read,,,,0,0
66935,"A Dying Colonialism (Fanon, Frantz)",Frantz Fanon,"Fanon, Frantz",Haakon Chevalier,"=""0802150276""","=""9780802150271""",0,4.27,Grove,Paperback,181,1994,1959,,2022/06/28,to-read,to-read (#238),to-read,,,,0,0
24874324,How Much Land Does a Man Need?,Leo Tolstoy,"Tolstoy, Leo",Ronald Wilks,"=""0141397748""","=""9780141397740""",0,4.10,Penguin Classics,Paperback,64,2015,1886,,2022/06/28,to-read,to-read (#237),to-read,,,,0,0
368916,"84, Charing Cross Road",Helene Hanff,"Hanff, Helene",,"=""""","=""""",3,4.16,Penguin Books,Paperback,106,1990,1970,2022/06/28,2021/06/03,"cute, funny-and-ish, nonfiction, relatable, memoir, friendship","cute (#11), funny-and-ish (#19), nonfiction (#28), relatable (#14), memoir (#9), friendship (#1)",read,,,,1,0
54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""0525657746""","=""9780525657743""",0,4.24,Knopf,Hardcover,243,2021,2021,2022/06/27,2022/06/27,"unrated, memoir, essays, family, fomo, i-cried, asian-lit","unrated (#1), memoir (#8), essays (#9), family (#18), fomo (#4), i-cried (#17), asian-lit (#14)",read,,,,1,0
58756420,I Kissed Shara Wheeler,Casey McQuiston,"McQuiston, Casey",,"=""1250244455""","=""9781250244451""",0,3.86,St. Martin's Press,Hardcover,356,2022,2022,,2022/06/24,to-read,to-read (#236),to-read,,,,0,0
60099660,If You Could See the Sun,Ann Liang,"Liang, Ann",,"=""1335915842""","=""9781335915849""",0,4.00,Inkyard Press,Hardcover,346,2022,2022,,2022/06/24,to-read,to-read (#235),to-read,,,,0,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""038549081X""","=""9780385490818""",2,4.15,Anchor Books,Paperback,311,1998,1985,2020/06/18,2020/06/15,"yawn, classics, cult, disappointed, dragged-on, dystopian, doesnt-deserve-the-hype, shocking, ebook, for-white-ppl","yawn (#8), classics (#20), cult (#2), disappointed (#16), dragged-on (#12), dystopian (#8), doesnt-deserve-the-hype (#21), shocking (#1), ebook (#5), for-white-ppl (#3)",read,,,,1,0
53284826,Gold Dust,Ibrahim al-Koni,"al-Koni, Ibrahim",Elliott Colla,"=""9774169697""","=""9789774169694""",0,3.87,Hoopoe,Paperback,200,2020,1990,,2021/05/15,to-read,to-read (#88),to-read,,,,0,0
56597885,"Beautiful World, Where Are You",Sally Rooney,"Rooney, Sally",,"=""0374602603""","=""9780374602604""",2,3.53,"Farrar, Straus and Giroux",Hardcover,356,2021,2021,2022/06/04,2022/06/04,"contemporary, cringe, dnf, fomo, for-white-ppl, i-vibe-w-the-writing, meh, read-a-third-of-it, fav-book-titles","contemporary (#5), cringe (#14), dnf (#22), fomo (#2), for-white-ppl (#4), i-vibe-w-the-writing (#22), meh (#46), read-a-third-of-it (#8), fav-book-titles (#9)",read,,,,1,0
18885674,The Scandalous Sisterhood of Prickwillow Place,Julie Berry,"Berry, Julie",,"=""1596439572""","=""9781596439573""",0,3.82,Roaring Brook Press ,Kindle Edition,368,2014,2014,,2022/04/10,to-read,to-read (#234),to-read,,,,0,0
136116,The Scarlet Pimpernel,Emmuska Orczy,"Orczy, Emmuska",,"=""1576469239""","=""9781576469231""",0,4.07,Quiet Vision Pub,Paperback,182,2005,1905,,2022/04/03,to-read,to-read (#233),to-read,,,,0,0
29358559,Upstream: Selected Essays,Mary Oliver,"Oliver, Mary",,"=""1594206708""","=""9781594206702""",0,4.16,Penguin Press,Hardcover,178,2016,2016,,2022/03/26,to-read,to-read (#232),to-read,,,,0,0
25022248,The Penguin Book of Russian Poetry,Robert Chandler,"Chandler, Robert","Boris Dralyuk, Irina Mashinski","=""0141972262""","=""9780141972268""",3,4.24,Penguin,Kindle Edition,558,2015,2015,2022/03/18,2022/03/24,"the-russians, better-than-expected, classics, dark, larger-than-life, manuscripts-dont-burn, political-satire, war","the-russians (#8), better-than-expected (#38), classics (#38), dark (#32), larger-than-life (#11), manuscripts-dont-burn (#3), political-satire (#6), war (#7)",read,,,,1,0
48595550,The Death of Vivek Oji,Akwaeke Emezi,"Emezi, Akwaeke",,"=""0525541608""","=""9780525541608""",0,4.12,Riverhead Books,Hardcover,248,2020,2020,,2022/03/17,to-read,to-read (#231),to-read,,,,0,0
